product_id,product_category
P021820,Fashion
P076386,Books
P023480,Fashion
P064423,Sports
P044330,Home
P072462,Books
P025131,Fashion
P077346,Books
P052501,Beauty
P046977,Home
P023727,Fashion
P013314,Electronics
P071286,Books
P073346,Books
P014246,Electronics
P054289,Beauty
P069623,Sports
P071058,Books
P054778,Beauty
P033944,Grocery
P054614,Beauty
P079745,Books
P018030,Electronics
P058518,Beauty
P014609,Electronics
P029986,Fashion
P079146,Books
P063044,Sports
P026832,Fashion
P052610,Beauty
P034551,Grocery
P011402,Electronics
P017578,Electronics
P019435,Electronics
P067474,Sports
P019810,Electronics
P039772,Grocery
P066287,Sports
P067051,Sports
P015766,Electronics
P044087,Home
P017495,Electronics
P026052,Fashion
P074008,Books
P029049,Fashion
P033314,Grocery
P011216,Electronics
P071376,Books
P054097,Beauty
P021685,Fashion
P035287,Grocery
P068392,Sports
P016351,Electronics
P047406,Home
P049127,Home
P055979,Beauty
P028030,Fashion
P049423,Home
P024746,Fashion
P047823,Home
P054937,Beauty
P021074,Fashion
P057693,Beauty
P044995,Home
P071518,Books
P051522,Beauty
P071837,Books
P051748,Beauty
P026156,Fashion
P044959,Home
P042801,Home
P046627,Home
P052060,Beauty
P064809,Sports
P062288,Sports
P031478,Grocery
P075328,Books
P016635,Electronics
P026735,Fashion
P061671,Sports
P042284,Home
P044603,Home
P039909,Grocery
P013300,Electronics
P023732,Fashion
P045219,Home
P051970,Beauty
P034848,Grocery
P011971,Electronics
P073340,Books
P012637,Electronics
P069700,Sports
P062481,Sports
P017565,Electronics
P034891,Grocery
P048644,Home
P055673,Beauty
P015901,Electronics
P051624,Beauty
P032756,Grocery
P068662,Sports
P048404,Home
P062366,Sports
P012604,Electronics
P014568,Electronics
P059418,Beauty
P072326,Books
P013909,Electronics
P079099,Books
P031905,Grocery
P061778,Sports
P028524,Fashion
P017946,Electronics
P073165,Books
P035600,Grocery
P049772,Home
P034227,Grocery
P067735,Sports
P032408,Grocery
P068632,Sports
P031756,Grocery
P021825,Fashion
P046983,Home
P012707,Electronics
P042318,Home
P018743,Electronics
P048430,Home
P019208,Electronics
P072745,Books
P074584,Books
P039597,Grocery
P045729,Home
P063882,Sports
P062173,Sports
P072675,Books
P067905,Sports
P046131,Home
P071357,Books
P079868,Books
P062290,Sports
P032861,Grocery
P025590,Fashion
P072543,Books
P059496,Beauty
P037561,Grocery
P039530,Grocery
P071931,Books
P059950,Beauty
P029757,Fashion
P064461,Sports
P054985,Beauty
P047005,Home
P017857,Electronics
P012452,Electronics
P021877,Fashion
P021212,Fashion
P043813,Home
P064966,Sports
P061743,Sports
P066853,Sports
P037899,Grocery
P053026,Beauty
P033383,Grocery
P062142,Sports
P055162,Beauty
P033985,Grocery
P075278,Books
P074829,Books
P048705,Home
P078022,Books
P045547,Home
P072763,Books
P052522,Beauty
P068708,Sports
P064708,Sports
P043812,Home
P014760,Electronics
P068108,Sports
P066079,Sports
P063544,Sports
P077026,Books
P042488,Home
P025488,Fashion
P079833,Books
P013199,Electronics
P033934,Grocery
P014270,Electronics
P073874,Books
P077937,Books
P062528,Sports
P074143,Books
P073077,Books
P033911,Grocery
P039476,Grocery
P029631,Fashion
P056930,Beauty
P033188,Grocery
P021355,Fashion
P049569,Home
P051135,Beauty
P056353,Beauty
P055237,Beauty
P026574,Fashion
P015666,Electronics
P038040,Grocery
P012744,Electronics
P048098,Home
P051431,Beauty
P038340,Grocery
P051000,Beauty
P072571,Books
P014349,Electronics
P068126,Sports
P051272,Beauty
P024757,Fashion
P063915,Sports
P026425,Fashion
P014943,Electronics
P077166,Books
P065085,Sports
P071848,Books
P062385,Sports
P036463,Grocery
P079252,Books
P079588,Books
P071845,Books
P065229,Sports
P062719,Sports
P047908,Home
P023032,Fashion
P013835,Electronics
P036130,Grocery
P069001,Sports
P065466,Sports
P043266,Home
P061450,Sports
P065610,Sports
P026811,Fashion
P028719,Fashion
P061529,Sports
P017104,Electronics
P036626,Grocery
P045030,Home
P018042,Electronics
P031603,Grocery
P025022,Fashion
P072288,Books
P066150,Sports
P048337,Home
P028351,Fashion
P071000,Books
P027281,Fashion
P027043,Fashion
P072110,Books
P024046,Fashion
P024964,Fashion
P032101,Grocery
P078390,Books
P039197,Grocery
P074079,Books
P053727,Beauty
P052344,Beauty
P019141,Electronics
P019281,Electronics
P067855,Sports
P049638,Home
P046371,Home
P052244,Beauty
P039500,Grocery
P053913,Beauty
P072502,Books
P029730,Fashion
P043835,Home
P064967,Sports
P052037,Beauty
P065845,Sports
P026938,Fashion
P066034,Sports
P041777,Home
P066125,Sports
P066004,Sports
P042610,Home
P031902,Grocery
P061375,Sports
P072528,Books
P063169,Sports
P057838,Beauty
P076830,Books
P077249,Books
P032414,Grocery
P066762,Sports
P073587,Books
P066564,Sports
P013000,Electronics
P041732,Home
P063415,Sports
P061469,Sports
P065922,Sports
P046588,Home
P059274,Beauty
P037372,Grocery
P079063,Books
P044893,Home
P023261,Fashion
P064170,Sports
P048327,Home
P034396,Grocery
P026286,Fashion
P052999,Beauty
P018217,Electronics
P028769,Fashion
P027452,Fashion
P019662,Electronics
P053732,Beauty
P053602,Beauty
P019633,Electronics
P046617,Home
P037709,Grocery
P024584,Fashion
P066484,Sports
P076646,Books
P039004,Grocery
P045769,Home
P066295,Sports
P077953,Books
P046868,Home
P057992,Beauty
P046750,Home
P021616,Fashion
P055600,Beauty
P023742,Fashion
P028141,Fashion
P061550,Sports
P016466,Electronics
P077557,Books
P061258,Sports
P018938,Electronics
P049122,Home
P035897,Grocery
P016718,Electronics
P041697,Home
P064563,Sports
P019995,Electronics
P057074,Beauty
P051366,Beauty
P012639,Electronics
P025543,Fashion
P072643,Books
P035006,Grocery
P068116,Sports
P016343,Electronics
P036012,Grocery
P027726,Fashion
P041880,Home
P074448,Books
P013016,Electronics
P075306,Books
P033187,Grocery
P052701,Beauty
P017447,Electronics
P033484,Grocery
P026636,Fashion
P057697,Beauty
P022926,Fashion
P045947,Home
P068284,Sports
P075023,Books
P041683,Home
P071607,Books
P058538,Beauty
P051577,Beauty
P019896,Electronics
P037518,Grocery
P054872,Beauty
P065095,Sports
P076833,Books
P059748,Beauty
P022744,Fashion
P046077,Home
P014686,Electronics
P022024,Fashion
P071180,Books
P048159,Home
P076614,Books
P015332,Electronics
P047395,Home
P044213,Home
P073606,Books
P073404,Books
P076217,Books
P044518,Home
P069532,Sports
P066613,Sports
P076539,Books
P044545,Home
P015578,Electronics
P072220,Books
P042596,Home
P051026,Beauty
P021757,Fashion
P059904,Beauty
P037898,Grocery
P059175,Beauty
P065911,Sports
P043651,Home
P048655,Home
P054779,Beauty
P061543,Sports
P063141,Sports
P031869,Grocery
P047506,Home
P033869,Grocery
P067520,Sports
P063303,Sports
P079356,Books
P064799,Sports
P034147,Grocery
P056345,Beauty
P066655,Sports
P072448,Books
P078900,Books
P068434,Sports
P021535,Fashion
P063122,Sports
P015151,Electronics
P034916,Grocery
P037614,Grocery
P014677,Electronics
P078455,Books
P014872,Electronics
P028392,Fashion
P026575,Fashion
P055972,Beauty
P072519,Books
P041843,Home
P075897,Books
P058744,Beauty
P016593,Electronics
P064442,Sports
P061170,Sports
P027829,Fashion
P027680,Fashion
P068255,Sports
P054360,Beauty
P034010,Grocery
P031903,Grocery
P027872,Fashion
P013751,Electronics
P063344,Sports
P047572,Home
P045236,Home
P054124,Beauty
P022480,Fashion
P077267,Books
P029711,Fashion
P019524,Electronics
P029673,Fashion
P063162,Sports
P039684,Grocery
P073130,Books
P072524,Books
P034421,Grocery
P039593,Grocery
P042249,Home
P042853,Home
P044841,Home
P056311,Beauty
P013458,Electronics
P042347,Home
P055512,Beauty
P015408,Electronics
P052600,Beauty
P021832,Fashion
P065789,Sports
P037102,Grocery
P059763,Beauty
P068297,Sports
P039708,Grocery
P021725,Fashion
P043166,Home
P013535,Electronics
P038372,Grocery
P066578,Sports
P077094,Books
P028268,Fashion
P028528,Fashion
P035899,Grocery
P036666,Grocery
P078697,Books
P068864,Sports
P076613,Books
P047166,Home
P014650,Electronics
P041768,Home
P023053,Fashion
P021816,Fashion
P038829,Grocery
P023267,Fashion
P034783,Grocery
P051960,Beauty
P032862,Grocery
P029050,Fashion
P052077,Beauty
P029642,Fashion
P034970,Grocery
P027806,Fashion
P015082,Electronics
P035934,Grocery
P053347,Beauty
P055925,Beauty
P048399,Home
P051860,Beauty
P053352,Beauty
P075385,Books
P067557,Sports
P064001,Sports
P066478,Sports
P055034,Beauty
P014411,Electronics
P065802,Sports
P068514,Sports
P061789,Sports
P052470,Beauty
P055370,Beauty
P055901,Beauty
P077099,Books
P038967,Grocery
P036656,Grocery
P065160,Sports
P029146,Fashion
P078081,Books
P077710,Books
P032219,Grocery
P034890,Grocery
P056122,Beauty
P066873,Sports
P044535,Home
P011621,Electronics
P011820,Electronics
P052608,Beauty
P022877,Fashion
P019776,Electronics
P031749,Grocery
P039786,Grocery
P073557,Books
P075757,Books
P038636,Grocery
P031814,Grocery
P077082,Books
P028560,Fashion
P037208,Grocery
P079051,Books
P076987,Books
P031799,Grocery
P021530,Fashion
P064504,Sports
P014277,Electronics
P057810,Beauty
